symbol,start_time,end_time,label
c,2025-11-20T00:03:27,2025-11-20T01:03:27,normal
b,2025-11-20T01:08:27,2025-11-20T05:48:27,high
c,2025-11-20T05:53:27,2025-11-20T14:28:29,normal
b,2025-11-20T14:33:28,2025-11-20T15:03:27,high
c,2025-11-20T15:08:27,2025-11-20T15:08:27,normal
b,2025-11-20T15:13:28,2025-11-20T15:18:27,high
c,2025-11-20T15:23:28,2025-11-20T17:23:28,normal
d,2025-11-20T17:28:28,2025-11-20T17:48:28,low
c,2025-11-20T17:53:27,2025-11-20T19:33:27,normal
b,2025-11-20T19:38:28,2025-11-20T20:53:27,high
c,2025-11-20T20:58:27,2025-11-21T00:18:28,normal
b,2025-11-21T00:23:28,2025-11-21T01:03:28,high
c,2025-11-21T01:08:27,2025-11-21T03:13:28,normal
d,2025-11-21T03:18:27,2025-11-21T03:23:28,low
c,2025-11-21T03:28:28,2025-11-21T10:43:28,normal
b,2025-11-21T10:48:28,2025-11-21T10:48:28,high
c,2025-11-21T10:53:30,2025-11-21T10:53:30,normal
b,2025-11-21T10:58:28,2025-11-21T11:33:28,high
c,2025-11-21T11:38:28,2025-11-21T19:23:28,normal
b,2025-11-21T19:28:28,2025-11-21T19:48:29,high
c,2025-11-21T19:53:28,2025-11-22T00:55:07,normal
b,2025-11-22T01:00:08,2025-11-22T01:50:07,high
c,2025-11-22T01:55:07,2025-11-22T03:40:06,normal
d,2025-11-22T03:45:07,2025-11-22T04:00:07,low
c,2025-11-22T04:05:07,2025-11-22T04:55:07,normal
d,2025-11-22T05:00:07,2025-11-22T05:30:07,low
c,2025-11-22T05:35:07,2025-11-22T05:35:07,normal
d,2025-11-22T05:40:07,2025-11-22T05:40:07,low
c,2025-11-22T05:45:07,2025-11-22T07:40:07,normal
d,2025-11-22T07:45:07,2025-11-22T08:10:07,low
c,2025-11-22T08:15:07,2025-11-22T12:40:06,normal
b,2025-11-22T12:45:07,2025-11-22T12:45:07,high
c,2025-11-22T12:50:08,2025-11-22T12:50:08,normal
b,2025-11-22T12:55:07,2025-11-22T13:55:07,high
c,2025-11-22T14:00:06,2025-11-22T18:35:07,normal
b,2025-11-22T18:40:06,2025-11-22T18:55:06,high
c,2025-11-22T19:00:08,2025-11-22T23:10:06,normal
d,2025-11-22T23:15:06,2025-11-22T23:20:06,low
c,2025-11-22T23:25:06,2025-11-22T23:30:06,normal
d,2025-11-22T23:35:06,2025-11-22T23:40:06,low
c,2025-11-22T23:45:06,2025-11-23T01:45:06,normal
b,2025-11-23T01:50:06,2025-11-23T03:10:08,high
a,2025-11-23T03:15:05,2025-11-23T04:40:06,extremely_high
b,2025-11-23T04:45:05,2025-11-23T05:15:05,high
a,2025-11-23T05:20:06,2025-11-23T05:25:06,extremely_high
b,2025-11-23T05:30:06,2025-11-23T08:50:06,high
c,2025-11-23T08:55:06,2025-11-23T13:25:05,normal
b,2025-11-23T13:30:05,2025-11-23T13:35:05,high
c,2025-11-23T13:40:05,2025-11-23T14:30:06,normal
d,2025-11-23T14:35:05,2025-11-23T14:40:06,low
c,2025-11-23T14:45:05,2025-11-23T15:45:05,normal
b,2025-11-23T15:50:05,2025-11-23T16:10:06,high
c,2025-11-23T16:15:06,2025-11-23T16:20:05,normal
b,2025-11-23T16:25:05,2025-11-23T16:50:05,high
c,2025-11-23T16:55:05,2025-11-23T17:15:06,normal
b,2025-11-23T17:20:06,2025-11-23T18:35:05,high
c,2025-11-23T18:40:05,2025-11-23T20:35:05,normal
b,2025-11-23T20:40:05,2025-11-23T21:25:05,high
a,2025-11-23T21:30:06,2025-11-23T23:20:04,extremely_high
b,2025-11-23T23:25:05,2025-11-24T00:20:05,high
c,2025-11-24T00:25:05,2025-11-24T01:15:04,normal
b,2025-11-24T01:20:05,2025-11-24T01:35:06,high
c,2025-11-24T01:40:04,2025-11-24T01:45:05,normal
b,2025-11-24T01:50:04,2025-11-24T01:55:04,high
c,2025-11-24T02:00:04,2025-11-24T04:05:05,normal
b,2025-11-24T04:10:04,2025-11-24T06:00:04,high
c,2025-11-24T06:05:04,2025-11-24T09:40:05,normal
d,2025-11-24T09:45:06,2025-11-24T09:45:06,low
c,2025-11-24T09:50:04,2025-11-24T09:50:04,normal
d,2025-11-24T09:55:05,2025-11-24T10:00:05,low
c,2025-11-24T10:05:05,2025-11-24T13:15:04,normal
b,2025-11-24T13:20:04,2025-11-24T13:25:04,high
c,2025-11-24T13:30:05,2025-11-24T16:25:04,normal
b,2025-11-24T16:30:05,2025-11-24T16:30:05,high
c,2025-11-24T16:35:05,2025-11-24T18:45:04,normal
b,2025-11-24T18:50:04,2025-11-24T19:35:04,high
c,2025-11-24T19:40:05,2025-11-24T23:50:04,normal
b,2025-11-24T23:55:04,2025-11-25T00:40:05,high
c,2025-11-25T00:45:05,2025-11-25T01:55:04,normal
d,2025-11-25T02:00:04,2025-11-25T02:05:04,low
c,2025-11-25T02:15:04,2025-11-25T15:55:04,normal
b,2025-11-25T16:00:03,2025-11-25T17:10:04,high
c,2025-11-25T17:15:04,2025-11-25T19:10:04,normal
b,2025-11-25T19:15:04,2025-11-25T19:55:03,high
c,2025-11-25T20:00:04,2025-11-26T00:10:03,normal
b,2025-11-26T00:15:03,2025-11-26T00:45:04,high
c,2025-11-26T00:50:04,2025-11-26T03:20:04,normal
