symbol,start_time,end_time,label
b,2024-12-18T00:02:40,2024-12-18T00:37:41,high
c,2024-12-18T00:42:41,2024-12-18T00:57:41,normal
b,2024-12-18T01:02:41,2024-12-18T01:27:41,high
c,2024-12-18T01:32:41,2024-12-18T01:37:41,normal
b,2024-12-18T01:42:40,2024-12-18T01:47:41,high
c,2024-12-18T01:52:41,2024-12-18T01:57:41,normal
b,2024-12-18T02:02:41,2024-12-18T02:02:41,high
c,2024-12-18T02:07:41,2024-12-18T05:47:42,normal
b,2024-12-18T05:47:42,2024-12-18T05:47:42,high
c,2024-12-18T05:52:41,2024-12-18T05:52:41,normal
b,2024-12-18T05:52:42,2024-12-18T05:52:42,high
c,2024-12-18T05:57:41,2024-12-18T05:57:41,normal
b,2024-12-18T05:57:42,2024-12-18T06:02:42,high
c,2024-12-18T06:02:42,2024-12-18T06:07:42,normal
b,2024-12-18T06:07:42,2024-12-18T06:07:42,high
c,2024-12-18T06:12:41,2024-12-18T06:12:41,normal
b,2024-12-18T06:12:42,2024-12-18T06:12:42,high
c,2024-12-18T06:17:41,2024-12-18T06:17:41,normal
b,2024-12-18T06:17:42,2024-12-18T06:17:42,high
c,2024-12-18T06:22:41,2024-12-18T06:22:41,normal
b,2024-12-18T06:22:42,2024-12-18T06:22:42,high
c,2024-12-18T06:27:41,2024-12-18T06:27:41,normal
b,2024-12-18T06:27:42,2024-12-18T06:27:42,high
c,2024-12-18T06:32:41,2024-12-18T06:32:41,normal
b,2024-12-18T06:32:42,2024-12-18T06:32:42,high
c,2024-12-18T06:37:41,2024-12-18T06:37:41,normal
b,2024-12-18T06:37:43,2024-12-18T06:37:43,high
c,2024-12-18T06:42:41,2024-12-18T06:42:41,normal
b,2024-12-18T06:42:42,2024-12-18T06:42:42,high
c,2024-12-18T06:47:42,2024-12-18T06:47:42,normal
b,2024-12-18T06:47:42,2024-12-18T06:47:42,high
c,2024-12-18T06:52:42,2024-12-18T07:02:41,normal
b,2024-12-18T07:02:42,2024-12-18T07:02:42,high
c,2024-12-18T07:07:42,2024-12-18T07:07:42,normal
b,2024-12-18T07:07:43,2024-12-18T07:07:43,high
c,2024-12-18T07:12:42,2024-12-18T07:12:42,normal
b,2024-12-18T07:12:43,2024-12-18T07:12:43,high
c,2024-12-18T07:17:41,2024-12-18T07:17:41,normal
b,2024-12-18T07:17:43,2024-12-18T07:17:43,high
c,2024-12-18T07:22:41,2024-12-18T07:22:41,normal
b,2024-12-18T07:22:42,2024-12-18T07:22:42,high
c,2024-12-18T07:27:41,2024-12-18T07:27:41,normal
b,2024-12-18T07:27:43,2024-12-18T07:27:43,high
c,2024-12-18T07:32:41,2024-12-18T07:32:41,normal
b,2024-12-18T07:32:43,2024-12-18T07:32:43,high
c,2024-12-18T07:37:42,2024-12-18T07:37:42,normal
b,2024-12-18T07:37:43,2024-12-18T07:37:43,high
c,2024-12-18T07:42:41,2024-12-18T07:42:41,normal
b,2024-12-18T07:42:43,2024-12-18T07:42:43,high
c,2024-12-18T07:47:41,2024-12-18T07:47:41,normal
b,2024-12-18T07:47:43,2024-12-18T07:47:43,high
c,2024-12-18T07:52:41,2024-12-18T07:52:41,normal
b,2024-12-18T07:52:42,2024-12-18T07:52:42,high
c,2024-12-18T07:57:41,2024-12-18T08:42:43,normal
d,2024-12-18T08:47:42,2024-12-18T08:47:42,low
c,2024-12-18T08:47:42,2024-12-18T08:47:42,normal
d,2024-12-18T08:52:42,2024-12-18T08:57:43,low
c,2024-12-18T09:02:42,2024-12-18T13:12:42,normal
b,2024-12-18T13:12:43,2024-12-18T13:12:43,high
c,2024-12-18T13:17:42,2024-12-18T13:17:42,normal
b,2024-12-18T13:17:43,2024-12-18T13:17:43,high
c,2024-12-18T13:22:42,2024-12-18T13:22:42,normal
b,2024-12-18T13:22:42,2024-12-18T13:22:42,high
c,2024-12-18T13:27:42,2024-12-18T13:27:42,normal
b,2024-12-18T13:27:43,2024-12-18T13:27:43,high
c,2024-12-18T13:32:42,2024-12-18T13:32:42,normal
b,2024-12-18T13:32:43,2024-12-18T13:32:43,high
c,2024-12-18T13:37:42,2024-12-18T13:37:42,normal
b,2024-12-18T13:37:43,2024-12-18T14:22:43,high
c,2024-12-18T14:27:43,2024-12-18T16:22:43,normal
b,2024-12-18T16:27:43,2024-12-18T16:42:44,high
c,2024-12-18T16:47:43,2024-12-18T16:52:43,normal
b,2024-12-18T16:57:43,2024-12-18T17:52:44,high
c,2024-12-18T17:57:44,2024-12-18T19:57:44,normal
b,2024-12-18T20:02:43,2024-12-18T20:32:44,high
c,2024-12-18T20:37:44,2024-12-18T21:17:42,normal
d,2024-12-18T21:22:43,2024-12-18T21:32:43,low
c,2024-12-18T21:37:43,2024-12-18T21:47:43,normal
b,2024-12-18T21:52:43,2024-12-18T22:02:43,high
c,2024-12-18T22:07:43,2024-12-18T23:07:43,normal
d,2024-12-18T23:12:43,2024-12-18T23:32:43,low
c,2024-12-18T23:37:43,2024-12-19T04:27:44,normal
b,2024-12-19T04:32:43,2024-12-19T05:12:43,high
c,2024-12-19T05:17:43,2024-12-19T05:27:44,normal
b,2024-12-19T05:32:43,2024-12-19T05:37:43,high
c,2024-12-19T05:42:44,2024-12-19T07:12:43,normal
b,2024-12-19T07:17:43,2024-12-19T07:22:43,high
c,2024-12-19T07:27:43,2024-12-19T11:22:44,normal
b,2024-12-19T11:27:44,2024-12-19T11:32:44,high
a,2024-12-19T11:37:44,2024-12-19T11:57:44,extremely_high
b,2024-12-19T12:07:44,2024-12-19T12:17:43,high
c,2024-12-19T12:22:44,2024-12-19T14:42:44,normal
b,2024-12-19T14:47:44,2024-12-19T14:52:44,high
c,2024-12-19T14:57:44,2024-12-19T15:02:44,normal
b,2024-12-19T15:07:44,2024-12-19T15:07:44,high
c,2024-12-19T15:12:44,2024-12-19T16:07:44,normal
b,2024-12-19T16:12:44,2024-12-19T16:52:44,high
c,2024-12-19T16:57:44,2024-12-19T18:27:44,normal
b,2024-12-19T18:32:44,2024-12-19T18:42:44,high
c,2024-12-19T18:47:44,2024-12-19T20:42:44,normal
b,2024-12-19T20:47:44,2024-12-19T21:22:44,high
c,2024-12-19T21:27:44,2024-12-19T21:27:44,normal
b,2024-12-19T21:32:44,2024-12-19T21:57:45,high
c,2024-12-19T22:02:44,2024-12-19T22:02:44,normal
b,2024-12-19T22:07:45,2024-12-19T22:12:44,high
c,2024-12-19T22:17:44,2024-12-19T22:27:45,normal
b,2024-12-19T22:32:44,2024-12-19T23:12:44,high
c,2024-12-19T23:17:45,2024-12-19T23:22:44,normal
b,2024-12-19T23:27:45,2024-12-19T23:32:45,high
c,2024-12-19T23:37:45,2024-12-19T23:37:45,normal
b,2024-12-19T23:42:44,2024-12-20T01:57:45,high
c,2024-12-20T02:02:45,2024-12-20T02:02:45,normal
b,2024-12-20T02:07:44,2024-12-20T04:12:44,high
c,2024-12-20T04:17:44,2024-12-20T06:27:45,normal
b,2024-12-20T06:32:45,2024-12-20T06:32:45,high
a,2024-12-20T06:37:44,2024-12-20T06:52:45,extremely_high
b,2024-12-20T06:57:45,2024-12-20T07:02:45,high
c,2024-12-20T07:07:44,2024-12-20T10:47:45,normal
b,2024-12-20T10:52:45,2024-12-20T12:32:46,high
c,2024-12-20T12:37:45,2024-12-20T13:47:46,normal
b,2024-12-20T13:52:45,2024-12-20T14:07:46,high
a,2024-12-20T14:12:46,2024-12-20T14:32:46,extremely_high
b,2024-12-20T14:37:45,2024-12-20T15:17:45,high
c,2024-12-20T15:22:45,2024-12-20T18:17:46,normal
b,2024-12-20T18:22:46,2024-12-20T18:32:46,high
c,2024-12-20T18:37:46,2024-12-20T20:27:46,normal
b,2024-12-20T20:32:46,2024-12-20T21:02:46,high
a,2024-12-20T21:07:46,2024-12-20T21:07:46,extremely_high
b,2024-12-20T21:12:46,2024-12-20T21:37:46,high
c,2024-12-20T21:42:47,2024-12-20T22:12:46,normal
b,2024-12-20T22:17:46,2024-12-20T23:12:46,high
c,2024-12-20T23:17:47,2024-12-20T23:17:47,normal
b,2024-12-20T23:22:46,2024-12-21T01:12:47,high
a,2024-12-21T01:17:46,2024-12-21T01:22:46,extremely_high
b,2024-12-21T01:27:47,2024-12-21T01:32:47,high
a,2024-12-21T01:37:46,2024-12-21T01:42:47,extremely_high
b,2024-12-21T01:47:46,2024-12-21T01:52:46,high
a,2024-12-21T01:57:46,2024-12-21T06:52:46,extremely_high
b,2024-12-21T06:57:47,2024-12-21T07:32:47,high
c,2024-12-21T07:37:46,2024-12-21T09:32:47,normal
d,2024-12-21T09:37:47,2024-12-21T09:37:47,low
c,2024-12-21T09:42:47,2024-12-21T11:57:47,normal
b,2024-12-21T12:02:47,2024-12-21T12:47:47,high
c,2024-12-21T12:52:47,2024-12-21T14:32:48,normal
