pattern,n,freq_giallo,lift_giallo,freq_rosso,lift_rosso,freq_verde,lift_verde,dominant_target,max_lift
"('high', 'normal', 'high', 'extremely_high')",4,0.04473315899953249,1.582395957619797,0.11261841395508172,4.9051465600696185,0.010539745191075093,0.1672625671900177,rosso,4.9051465600696185
"('extremely_high', 'high', 'normal', 'high')",4,0.044801708659365884,1.5871136179843501,0.1125097694832913,4.898714301313285,0.010513159144873096,0.16678550745200688,rosso,4.898714301313285
"('high', 'extremely_high', 'high', 'normal')",4,0.07115920060164145,1.6373975105588554,0.15750000651465929,4.117028193301492,0.019488161730797954,0.20642294823560184,rosso,4.117028193301492
"('normal', 'high', 'extremely_high', 'high')",4,0.07111325460119278,1.6373673498800612,0.15732280778207122,4.113899431121681,0.019492417183518084,0.20664595262300844,rosso,4.113899431121681
"('extremely_high', 'high', 'normal', 'low')",4,0.026346411717086984,1.7332358148817855,0.044944734641891186,2.943758172904121,0.00894875360528485,0.2854054148626015,rosso,2.943758172904121
"('low', 'normal', 'high', 'extremely_high')",4,0.026369384717311324,1.7371662118817621,0.04473305832784932,2.9259913243099134,0.008967629276756317,0.28637470490848377,rosso,2.9259913243099134
"('high', 'normal', 'low', 'extremely_low')",4,0.026250900175961364,1.695783532015561,0.044875579027928644,2.903124544531851,0.009301408449517375,0.2974916227090464,rosso,2.903124544531851
"('extremely_low', 'low', 'normal', 'high')",4,0.02622918293459173,1.6961735534024744,0.044775754402556635,2.898004611546838,0.009302588178984342,0.2979367204893232,rosso,2.898004611546838
"('normal', 'low', 'extremely_low', 'low')",4,0.0419897691110062,1.6728699319442237,0.06273075674883623,2.3944738966058354,0.017190849259856693,0.36134311248235607,rosso,2.3944738966058354
"('low', 'extremely_low', 'low', 'normal')",4,0.04202448714993044,1.6742856087770799,0.06271953148975826,2.3927907702618922,0.01719261885405714,0.36121064327835567,rosso,2.3927907702618922
