symbol,start_time,end_time,label
c,2025-12-13T00:02:50,2025-12-13T00:52:51,normal
b,2025-12-13T00:57:51,2025-12-13T01:37:51,high
c,2025-12-13T01:42:51,2025-12-13T10:57:52,normal
b,2025-12-13T11:02:52,2025-12-13T11:57:52,high
c,2025-12-13T12:02:53,2025-12-13T12:17:52,normal
b,2025-12-13T12:22:52,2025-12-13T13:02:52,high
c,2025-12-13T13:07:52,2025-12-13T16:32:54,normal
b,2025-12-13T16:37:53,2025-12-13T17:27:53,high
c,2025-12-13T17:32:53,2025-12-13T20:17:53,normal
b,2025-12-13T20:22:53,2025-12-13T21:02:53,high
c,2025-12-13T21:07:53,2025-12-13T23:07:54,normal
b,2025-12-13T23:12:54,2025-12-14T01:17:54,high
c,2025-12-14T01:22:54,2025-12-14T12:57:54,normal
b,2025-12-14T13:02:55,2025-12-14T13:37:55,high
c,2025-12-14T13:42:55,2025-12-14T18:07:55,normal
b,2025-12-14T18:12:55,2025-12-14T19:02:55,high
c,2025-12-14T19:07:55,2025-12-14T20:57:57,normal
b,2025-12-14T21:02:55,2025-12-14T21:12:56,high
c,2025-12-14T21:17:56,2025-12-14T22:37:56,normal
b,2025-12-14T22:42:55,2025-12-14T22:42:55,high
c,2025-12-14T22:47:55,2025-12-14T22:52:55,normal
b,2025-12-14T22:57:57,2025-12-14T23:47:56,high
a,2025-12-14T23:52:56,2025-12-15T00:42:55,extremely_high
b,2025-12-15T00:47:56,2025-12-15T01:27:55,high
c,2025-12-15T01:32:56,2025-12-15T01:32:56,normal
b,2025-12-15T01:37:56,2025-12-15T01:52:55,high
c,2025-12-15T01:57:56,2025-12-15T05:42:57,normal
b,2025-12-15T05:47:57,2025-12-15T06:27:56,high
c,2025-12-15T06:32:57,2025-12-15T09:52:56,normal
b,2025-12-15T09:57:57,2025-12-15T10:32:57,high
c,2025-12-15T10:37:57,2025-12-15T11:07:58,normal
d,2025-12-15T11:12:56,2025-12-15T11:22:57,low
c,2025-12-15T11:27:57,2025-12-15T13:22:57,normal
d,2025-12-15T13:27:57,2025-12-15T13:37:57,low
c,2025-12-15T13:42:57,2025-12-15T20:42:57,normal
b,2025-12-15T20:47:57,2025-12-15T21:52:58,high
c,2025-12-15T21:57:57,2025-12-15T22:17:57,normal
d,2025-12-15T22:22:58,2025-12-15T23:02:57,low
c,2025-12-15T23:07:58,2025-12-16T05:12:59,normal
b,2025-12-16T05:17:58,2025-12-16T05:27:58,high
c,2025-12-16T05:32:59,2025-12-16T12:08:00,normal
d,2025-12-16T12:13:00,2025-12-16T12:17:59,low
c,2025-12-16T12:23:00,2025-12-16T17:03:00,normal
d,2025-12-16T17:07:59,2025-12-16T17:07:59,low
c,2025-12-16T17:13:00,2025-12-16T20:23:00,normal
b,2025-12-16T20:43:00,2025-12-16T20:48:00,high
c,2025-12-16T20:53:01,2025-12-16T22:28:00,normal
b,2025-12-16T22:33:00,2025-12-16T23:03:00,high
a,2025-12-16T23:08:01,2025-12-16T23:13:00,extremely_high
b,2025-12-16T23:18:00,2025-12-16T23:23:00,high
a,2025-12-16T23:28:01,2025-12-17T00:28:01,extremely_high
b,2025-12-17T00:33:01,2025-12-17T01:43:01,high
c,2025-12-17T01:48:01,2025-12-17T06:48:01,normal
d,2025-12-17T06:53:01,2025-12-17T07:23:01,low
c,2025-12-17T07:28:02,2025-12-17T08:23:02,normal
d,2025-12-17T08:28:02,2025-12-17T09:08:02,low
c,2025-12-17T09:13:02,2025-12-17T11:53:02,normal
d,2025-12-17T11:58:02,2025-12-17T12:18:02,low
c,2025-12-17T12:23:02,2025-12-17T13:23:02,normal
b,2025-12-17T13:28:02,2025-12-17T13:48:03,high
c,2025-12-17T13:53:02,2025-12-17T14:38:02,normal
d,2025-12-17T14:43:02,2025-12-17T15:03:03,low
c,2025-12-17T15:08:02,2025-12-17T19:58:03,normal
b,2025-12-17T20:03:03,2025-12-17T21:28:03,high
c,2025-12-17T21:33:03,2025-12-17T21:58:03,normal
b,2025-12-17T22:03:03,2025-12-17T23:33:03,high
a,2025-12-17T23:38:03,2025-12-17T23:53:03,extremely_high
b,2025-12-17T23:58:03,2025-12-18T04:23:04,high
c,2025-12-18T04:28:03,2025-12-18T04:28:03,normal
b,2025-12-18T04:33:04,2025-12-18T04:33:04,high
c,2025-12-18T04:38:03,2025-12-18T12:53:04,normal
b,2025-12-18T12:58:04,2025-12-18T13:43:04,high
c,2025-12-18T13:48:04,2025-12-18T15:23:05,normal
b,2025-12-18T15:28:04,2025-12-18T16:28:05,high
c,2025-12-18T16:33:05,2025-12-18T18:38:05,normal
b,2025-12-18T18:43:05,2025-12-18T18:48:05,high
c,2025-12-18T18:53:05,2025-12-18T18:58:05,normal
b,2025-12-18T19:03:05,2025-12-18T20:08:05,high
c,2025-12-18T20:13:06,2025-12-18T21:18:06,normal
d,2025-12-18T21:23:06,2025-12-18T21:23:06,low
c,2025-12-18T21:28:06,2025-12-19T09:13:09,normal
d,2025-12-19T09:18:07,2025-12-19T09:58:07,low
c,2025-12-19T10:03:07,2025-12-19T11:38:08,normal
